registry_id,brand_code,brand_name,dealer_name,contact_person,phones,address,district,local_level,ward
34,nepal-gas,Nepal Gas,Bageswari Nepal Gas Dipo,Mrs. Uma Kasti,"[""9849273274""]",Samakhusi,Kathmandu,,
35,nepal-gas,Nepal Gas,BajagAin Gas Store,Mr. Hari Har Bajagain,"[""9851235014""]","Subetar, Kakani",Nuwakot,Kakani,
36,nepal-gas,Nepal Gas,Bajaracharaya Krishna G. Suppliers,Krishna Bahadur Bajaracharaya,"[""9841508203"", ""9851062704""]",Teku,Kathmandu,,
37,nepal-gas,Nepal Gas,Bajra Grocery Traders,Surendra Bajrachrya,"[""014484450"", ""9849965230"", ""9841327150""]",Boudha Dharatol,Kathmandu,,
38,nepal-gas,Nepal Gas,Balaju Height Nepal Gas Store,Damber Bdr. Thapa Magar,"[""9843742811"", ""9841832229""]",Balaju Height,Kathmandu,,
39,nepal-gas,Nepal Gas,Banasthali Gas Traders,Ram Chandra Khadka,"[""014365119"", ""9841745409""]",Banasthali,Kathmandu,,
40,nepal-gas,Nepal Gas,Banepali Khadya Store,Purna Bade,"[""9841295760""]",Tikhidewal,Lalitpur,,
41,nepal-gas,Nepal Gas,Baneshwor Gas Center,Laxmi Thapa,"[""9851242677""]",Baneswor Height,Kathmandu,,
42,nepal-gas,Nepal Gas,Barahi Traders,Shyam Bdr Maharjan,"[""014273432"", ""9841279942""]",Dallu,Kathmandu,,
43,nepal-gas,Nepal Gas,Bedehi Enterprises,Puja Rana,"[""9818410883"", ""9808195469""]",Dhobighat (New),Lalitpur,,
44,nepal-gas,Nepal Gas,Bhairab Gas Suppliers,Mrs. Kamala Pokharel,"[""9851011927""]","Jyoti Nagar, Kapan",Kathmandu,,
45,nepal-gas,Nepal Gas,Bhandari Gas Center,Ganga Bhandari,"[""9841690047""]",Golfutar,Kathmandu,,
46,nepal-gas,Nepal Gas,Bhanja Traders,Ram Bhakta Shrestha,"[""014310152"", ""9841212971""]",Naikap,Kathmandu,,
47,nepal-gas,Nepal Gas,Bhaskar Kirana Pasal,Jhamak Narayan Shrestha,"[""9841512125"", ""9863857744""]",Jaranku,Kathmandu,,
48,nepal-gas,Nepal Gas,Bhatari Kirana Store,Lok Hari Bhattrai,"[""014912026"", ""9841780409""]",Jorpati Nayabasti,Kathmandu,,
49,nepal-gas,Nepal Gas,Bibhuti Gas Store,Sunita Ranjit,"[""014258887"", ""9841372619""]",Kohity,Kathmandu,,
50,nepal-gas,Nepal Gas,Bijaya Trade and Suppliers Pvt. Ltd.,Neha Chaudhary,"[""9849716738""]","Jorpati, Nayabasti",Kathmandu,,
51,nepal-gas,Nepal Gas,Bipasona Gas Store,Sangita Bajrachyara,"[""9803007932""]",Tahachal Bagaicha,Kathmandu,,
52,nepal-gas,Nepal Gas,BIRAT GAS DIPO,Mrs. Saru Bhandari,"[""9841268485""]","Attarkhel, Gokarneshwor",Kathmandu,Gokarneshwor,
53,nepal-gas,Nepal Gas,Birat Marts,Radha Ghimire,"[""9849156927""]",Gothatar,Kathmandu,,
54,nepal-gas,Nepal Gas,Bishal & Bibek Khadhaya Store,Hari Krishna Kaspal,"[""016219480"", ""9841879663"", ""9818114107""]",Koteshwor New,Kathmandu,,
55,nepal-gas,Nepal Gas,Bishwash & Bikalpa Traders,Radha Acharya,"[""9861780272""]",Nepaltar,Kathmandu,,
56,nepal-gas,Nepal Gas,Chamati Gas Depo Tatha Kirana Store,Sabitri Thapa,"[""4354657"", ""9841494927""]",Chamati,Kathmandu,,
57,nepal-gas,Nepal Gas,Chamati Nepal Gas Dealer,Birju Sahi,"[""9862237206""]",Chamati,Kathmandu,,
58,nepal-gas,Nepal Gas,Chamunda Kirana Store,Hem Narayan Chaulagain,"[""014912214"", ""9841370535""]",Jorpati Chock,Kathmandu,,
59,nepal-gas,Nepal Gas,Chandan Gas Store,Gandhi Das,"[""9841381010""]",Sudershan Height,Kathmandu,,
60,nepal-gas,Nepal Gas,Chandra Binayak Gas Store,Ravi Karki,"[""014499771"", ""9851004371""]",Chabahil,Kathmandu,,
61,nepal-gas,Nepal Gas,Chaudhary & Brothers Suppliers,Pashpat Chaudhary,"[""9803408889""]",Sainbu,Lalitpur,,
62,nepal-gas,Nepal Gas,Chhahara Traders,Dirgha Raj Kaphle,"[""9841807864"", ""9849776169""]",Rato Pool,Kathmandu,,
63,nepal-gas,Nepal Gas,Chundevi Muna Gas Suppliers,Mrs Yamuna Gaire,"[""9823743394""]","Chundevi, Maharajgunj",Kathmandu,,
64,nepal-gas,Nepal Gas,City Upabhokta,City Upabhokta,"[""9841240920""]",Tinthana Naikap New,Kathmandu,,
65,nepal-gas,Nepal Gas,D.Q. Suppliers,Mr. Dipak Bidari,"[""9818802556""]",Balkumari Imadol,Lalitpur,,
66,nepal-gas,Nepal Gas,Daily Masala Udhyog,Manoj Devkota,"[""9803411061"", ""9801047212""]",Battisputali,Kathmandu,,
67,nepal-gas,Nepal Gas,Dangol Gas Stores,Mr. Nhuchhe Lal Dangol,"[""9818403110""]","Chapali, Budanilkantha",Kathmandu,Budhanilkantha,
68,nepal-gas,Nepal Gas,Debit Gas Store,Mrs. Fulmala Pulami Magar,"[""9849658076""]",Gokarneshwor - 6,Kathmandu,Gokarneshwor,6
69,nepal-gas,Nepal Gas,Deepak Enterprises,Deepak Kumar Joshi,"[""014376308"", ""9841317407""]",Chapaligaun,Kathmandu,,
70,nepal-gas,Nepal Gas,Deepak Rupak Kirana Pasal,Gambhir Katuwal,"[""015174184"", ""9851099375""]",Godawori,Lalitpur,Godawari,
71,nepal-gas,Nepal Gas,Devi Store,Chandra Tamang,"[""014365423"", ""9860585138""]",Shantitol,Kathmandu,,
72,nepal-gas,Nepal Gas,Dikshit Store,Dipak Kumar Adhikari,"[""9803001972""]",Padamshala Tarakeshwor - 13 Kathmandu,Kathmandu,Tarakeshwor,13
73,nepal-gas,Nepal Gas,Dilli Shrestha Store,Mr. Dilli Bahadur Shrestha,"[""9841356892""]","Gancha, Kirtipur",Kathmandu,Kirtipur,
74,nepal-gas,Nepal Gas,Dipak Stores,Mr. Dipak Gautam,"[""9841214963""]",Kalanki,Kathmandu,,
75,nepal-gas,Nepal Gas,Dipesh Cold Store,Dev Krishna Maharjan,"[""9841465899""]",Than Devsthan Tole Dhapakhel,Lalitpur,,
76,nepal-gas,Nepal Gas,Diya and Dibya Gas Store,Maheshwor Phuyal,"[""9843685860""]",Goldhunga,Kathmandu,,
77,nepal-gas,Nepal Gas,Durga and Sons Kirana Store,Mrs Durga Shrestha,"[""9808324896""]","Bholakhel, Lalitpur",Lalitpur,,
78,nepal-gas,Nepal Gas,Ganapati Ji Traders,Ganga Ram Dahal,"[""014484017"", ""9841783614""]",Kumarigal,Kathmandu,,
79,nepal-gas,Nepal Gas,Gandaki Store,Kopila Bastola,"[""9843041660"", ""9841989502""]",Kalo pool,Kathmandu,,
80,nepal-gas,Nepal Gas,Ganga Traders,Babin Manandhar,"[""014263558"", ""9841339959""]",Nardevi Tengal,Kathmandu,,
81,nepal-gas,Nepal Gas,Gas Bikri Depo,Kashi Ram Sapkota,"[""014426401""]","Trishakti Marg, Kathmandu 44600, Nepal",Kathmandu,,
82,nepal-gas,Nepal Gas,Gas Bikri Depo (Baluwatar),Kashi Ram Sapkota,"[""014426401"", ""9841883561""]",Baluwatar,Kathmandu,,
83,nepal-gas,Nepal Gas,Gas Bikri Depo (Thamel),Mina Pradhan,"[""014423424"", ""9841985252""]",Thamel,Kathmandu,,
84,nepal-gas,Nepal Gas,Gas Center,Bishwo Bikram Gurung,"[""014441109"", ""9849373508""]","Trishakti Marg, Kathmandu 44600, Nepal",Kathmandu,,
85,nepal-gas,Nepal Gas,Gautam Cold Store,Sita Gautam,"[""014466182"", ""9841526647""]",Koteswor Tinkune,Kathmandu,,
86,nepal-gas,Nepal Gas,Gautam Khadhay Suppliers,Udhava Prd Chaulagain,"[""9851053715""]",Sunderbasti,Kathmandu,,
87,nepal-gas,Nepal Gas,Gautam Mart,Gautam Mart,"[""9801247120"", ""9801247119""]",Kuleswor Height,Kathmandu,,
88,nepal-gas,Nepal Gas,GEDU SUPPLIERS,Mr. Sandip Kumar Chaudhary,"[""9860668011""]",Battisputali,Kathmandu,,
89,nepal-gas,Nepal Gas,Gita & Krishna Traders,Mr Krishna Bhakt Shrestha,"[""9843892120""]",Machegoun Laachhi - 9 Chandragiri Municipality,Kathmandu,Chandragiri,9
90,nepal-gas,Nepal Gas,Hamal Store,Nakul Hamal,"[""014335083"", ""9841262311""]",Balkhu,Kathmandu,,
91,nepal-gas,Nepal Gas,Hamro Gas Bikri Suppliers,Prasanta Manandhar,"[""014288228"", ""9841602401""]",Gaibachhapati,Kathmandu,,
92,nepal-gas,Nepal Gas,Hanuman Traders,Samrita Pokhrel,"[""9841672328"", ""9851008102""]",Sanepa (New),Lalitpur,,
93,nepal-gas,Nepal Gas,Harati Store,Raju Shrestha,"[""4285468"", ""9841416797"", ""9841599482""]",Dallu - Bajra,Kathmandu,,
94,nepal-gas,Nepal Gas,Hari Krishna Gas Suppliers,Hari Krishna Upadhayaya,"[""014475555"", ""9841712944""]",Shantinagar,Kathmandu,,
95,nepal-gas,Nepal Gas,Hasan Kirana Pasal,Hari Krishna Thapa Chettri,"[""014333828"", ""9841599255""]",Tyanglaphat,Kathmandu,,
96,nepal-gas,Nepal Gas,Illimili Gas Center,Naresh Kumar Manandhar,"[""014415023"", ""9843400522""]",Gairidhara,Kathmandu,,
97,nepal-gas,Nepal Gas,Ishwor Gas Suppliers,Ishwor Shrestha,"[""014710026"", ""9808227290""]",Farping,Kathmandu,Dakshinkali,
98,nepal-gas,Nepal Gas,J.G Store,Jeni Karki,"[""014016507"", ""9866875900""]",Gairitol,Kathmandu,,
99,nepal-gas,Nepal Gas,Jagat Maheshwor Store,Jagat Maheshwor Shrestha,"[""9841547766""]",Kalimati,Kathmandu,,
100,nepal-gas,Nepal Gas,Jaibik Khadya Store,Sanu Kaji Shrestha,"[""9841389206""]",Chunikhel Budhanilkantha-13,Kathmandu,Budhanilkantha,13
101,nepal-gas,Nepal Gas,Jasper Enterprises,Shova Chaulagain,"[""9741001971""]",Dakshindhoka,Kathmandu,,
102,nepal-gas,Nepal Gas,Jay Mata Suppliers,Mrs. Sumitra Maharjan,"[""9841666157""]","Balajutar Ward no. 1, KTM",Kathmandu,,1
103,nepal-gas,Nepal Gas,Jay Shree Laxmi Gas Pasal,Ram Chandra Basnet,"[""014914107"", ""9851065585""]",Jorpati Nayabasti Gothatar,Kathmandu,,
104,nepal-gas,Nepal Gas,Jaya Bijaya Store,Bijaya Laxmi Shrestha,"[""015149701"", ""9841361498""]",Narephat,Kathmandu,,
105,nepal-gas,Nepal Gas,Jaya Shree Balaji Gas Store,Mrs Nanu Bhandari,"[""9861050620""]","Gairi Tole, Basundhara Ward no. 3",Kathmandu,,3
106,nepal-gas,Nepal Gas,Joshi Enterprises,Bakhat Man Joshi,"[""9741041363""]",Thasikhel,Lalitpur,,
107,nepal-gas,Nepal Gas,Joshi Gas Suppliers,Tek Lal Joshi,"[""014357235"", ""9741102327""]",Balaju Height,Kathmandu,,
108,nepal-gas,Nepal Gas,JR Suppliers,Rajaram Silwal,"[""9851180369""]","Baniyatar, indrayani pool",Kathmandu,,
109,nepal-gas,Nepal Gas,Jwagal Gas Depo Tatha Kirana,Dan Bahadur Shrestha,"[""015525132"", ""015261049"", ""9841494769""]",Kupandol Jwagal,Lalitpur,,
110,nepal-gas,Nepal Gas,K.M. Suppliers,Kiran Mahandhar,"[""9841526201""]",Kakani,Nuwakot,Kakani,
111,nepal-gas,Nepal Gas,Kakani Business Group,Kakani Business Group,"[""016219948"", ""9851045519"", ""9818901025""]",Kakani,Nuwakot,Kakani,
112,nepal-gas,Nepal Gas,Kaldhara Gas Suppliers,Puspa Bahadur Shrestha,"[""014250923"", ""9851058600""]",Kusulechaur,Kathmandu,,
113,nepal-gas,Nepal Gas,Kali Maya Gas Suppliers,Mrs. Kali Maya Magar,"[""9841565081""]",Bode Thimi - 9,Bhaktapur,Madhyapur Thimi,9
114,nepal-gas,Nepal Gas,Kalika Gas Store,Mrs. Radhika Lamichhane,"[""9843629355""]",Shanti Tole Tarakeshwor - 8,Kathmandu,Tarakeshwor,8
115,nepal-gas,Nepal Gas,kanti Gas House,Naresh Koirala,"[""014461197"", ""9841198203""]",Battisputali Height,Kathmandu,,
116,nepal-gas,Nepal Gas,Kavre Gautam Khadya Store,Narayan Prasad Gautam,"[""9849823445""]",Dhumbarai,Kathmandu,,
117,nepal-gas,Nepal Gas,Kedar Thapa Suppliers,Mr. Kedar Thapa,"[""9841573161""]","Sirutar, Suryabinayak",Bhaktapur,Suryabinayak,
118,nepal-gas,Nepal Gas,Khadya Kirana Pasal,Shiva Dangol,"[""9841460421""]",Maruhity,Kathmandu,,
119,nepal-gas,Nepal Gas,Khadka Gas Depot,Sumita Khadka,"[""9851029206""]",Maharjgunj,Kathmandu,,
120,nepal-gas,Nepal Gas,Khadka Supplier,Chitra Kumar Khadka,"[""9851007742""]","Lazimpath,Saraswatithan",Kathmandu,,
121,nepal-gas,Nepal Gas,Khajur Store,Khajur Store,"[""9841467834""]","Godamchaur, Lalitpur",Lalitpur,Godawari,
122,nepal-gas,Nepal Gas,Khanal Gas Pasal,Devi Maya Khanal,"[""9751060643"", ""9841319411""]",Khusibu,Kathmandu,,
123,nepal-gas,Nepal Gas,Khanchock Suppliers,Janak Babu Shrestha,"[""9841750070"", ""9843197900""]",Kalanki Chock,Kathmandu,,
124,nepal-gas,Nepal Gas,Kich Priching Kirana Store,Gopal Krishna Nakarmi,"[""014312345""]",Gurjudhara,Kathmandu,,
125,nepal-gas,Nepal Gas,KIRAN STORE,Kiran,"[""9851034972""]","GODAWARI, KHAHARE",Lalitpur,Godawari,
126,nepal-gas,Nepal Gas,Kirana Pasal Pvt. Ltd.,Mr Adharsa Pandey,"[""9801023696""]",Kamal Pokhari,Kathmandu,,
127,nepal-gas,Nepal Gas,Kirtipur Mart Pvt. Ltd.,Kirtipur,"[""9841217583""]",Kirtipur,Kathmandu,Kirtipur,
128,nepal-gas,Nepal Gas,Koirala Gas Supplier,Ambika Parajuli Korila,"[""014436422"", ""9841357911""]",Maligaun (haddigaun),Kathmandu,,
129,nepal-gas,Nepal Gas,Krishna Govind Store,Krishna,"[""9851139009""]","Bade Gaun, Godawari - 14",Lalitpur,Godawari,14
130,nepal-gas,Nepal Gas,KRISHNA MAN MAHARJAN ENTERPRISES,Krishna Maharjan,"[""9851086574""]",Tika Bhairab Bajrabarahi-16,Lalitpur,Godawari/Bajrabarahi,16
131,nepal-gas,Nepal Gas,KRISHNA RAJ STORE,Krishna Raj,"[""9841569281""]",Godawari,Lalitpur,Godawari,
132,nepal-gas,Nepal Gas,Kritam Traders,Mr Krishna Bahadur Chalaune,"[""9851223772""]",Imadole,Lalitpur,Mahalaxmi,
133,nepal-gas,Nepal Gas,Kumarimata Enterprises,Renuka Pradhan,"[""014279191"", ""9841339349""]",Sitapaila,Kathmandu,,
134,nepal-gas,Nepal Gas,Lamatar Store,Lamatar,"[""9813814650""]",Mahalaxmi - 9,Lalitpur,Mahalaxmi,9
135,nepal-gas,Nepal Gas,Lamichhane and Sons Gas Depo,Mr Sushant Lamichhane,"[""9841426333""]",Simachaur Tokha Municipality Ward No. 1,Kathmandu,Tokha,1
136,nepal-gas,Nepal Gas,LAVDAYAK ENTERPRISES,Mr. Prakash Shrestha,"[""9841225506""]","Besigaun, Gokarna",Kathmandu,Gokarneshwor,
137,nepal-gas,Nepal Gas,Laxmi Gas Suppliers,Purushotam Shrestha,"[""014480129"", ""9851038674"", ""9841424356""]",Sinamangal,Kathmandu,,
138,nepal-gas,Nepal Gas,Laxmi Suppliers,Laxmi Rijal,"[""9841398283""]",Syuchatar (Bafal) Nagarjun - 9,Kathmandu,Nagarjun,9
139,nepal-gas,Nepal Gas,LILA GAS DIPO,Mr. Lila Dhar Sharma,"[""9851246254""]",Gongabu,Kathmandu,,
140,nepal-gas,Nepal Gas,LIWALI TRADES FORM,Mr. Rajesh Prajapati,"[""9845116368""]","Kamalbinayak, Bhaktapur",Bhaktapur,Bhaktapur,
141,nepal-gas,Nepal Gas,Lucky Kirana Pasal,Shrijana Maharjan,"[""014333824"", ""9849225378""]",Kirtipur New,Kathmandu,Kirtipur,
142,nepal-gas,Nepal Gas,M. K. Kirana Pasal,Dinesh Prasad Phuyal,"[""9860277770""]",Mulpani,Kathmandu,Gokarneshwor,
143,nepal-gas,Nepal Gas,Madan Traders,Madan Thapa,"[""014310405"", ""9851015900""]",Thankot,Kathmandu,Chandragiri,
144,nepal-gas,Nepal Gas,Mahaprabhu Suppliers,Sailandra Shrestha,"[""014265444"", ""9841805907""]",Yatkha,Kathmandu,,
145,nepal-gas,Nepal Gas,Maharjan Kirana Pasal,Bishnu Maharjan,"[""014354483""]",Tilingtar,Kathmandu,,
146,nepal-gas,Nepal Gas,Maheshwor Fuyal,Maheshwor Fuyal,"[""9843685860""]",Golfdhunga Height,Kathmandu,,
147,nepal-gas,Nepal Gas,Maitidevi Gas Center,Udesh Dangol,"[""014421902"", ""9841201550""]",Maitidevi,Kathmandu,,
148,nepal-gas,Nepal Gas,Maiya Store,Maiya Maharjan,"[""9849289344"", ""9851095169""]",Kirtipur Dana,Kathmandu,Kirtipur,
149,nepal-gas,Nepal Gas,Manakama Kirana Pasal,Shiva Ram Maharjan,"[""014310693"", ""9841324185""]",Satungal Balkhu Bazzar,Kathmandu,Chandragiri,
150,nepal-gas,Nepal Gas,Manamaiju Gas Suppliers,Raju Budathoki,"[""9823766752""]",Manamaiju,Kathmandu,Tarakeshwor,
151,nepal-gas,Nepal Gas,Mandikatar Gas Suppliers,Niranjan Khadka,"[""9866397531""]",Mandikatar,Kathmandu,,
152,nepal-gas,Nepal Gas,Mangali Bhakta Kirana tatha Khadya,Mr. Dwarika Nagarkoti,"[""9849045673""]",Bhadrabass,Kathmandu,,
153,nepal-gas,Nepal Gas,Manitaz Grocery,Manita Joshi,"[""9851075062""]","Chhetrapati 17, Kathmandu",Kathmandu,,17
154,nepal-gas,Nepal Gas,Meher Raj Store,Lalita Thapa,"[""014362674"", ""9813287408""]",Naya Bazzar,Kathmandu,,
155,nepal-gas,Nepal Gas,Minakshree Suppliers,Chandrakala Dahal,"[""9849161365""]",Shifal,Kathmandu,,
156,everest-gas,Everest,Brothers Enterprises,Bhagat Rana Bhat,"[""9851059020""]",Balkot,Bhaktapur,Madhyapur Thimi,
157,everest-gas,Everest,R.B Gas Suppliers,Rajesh Maharjan,"[""9865711999""]",Gwarko,Lalitpur,,
158,everest-gas,Everest,Melamchi Gas Center,Dhubra Deuja,"[""9851075603""]",Kapan,Kathmandu,Budhanilkantha,
159,everest-gas,Everest,Sparsha Traders,Bijay Lama,"[""9841328327""]",Kathmandu,Kathmandu,,
160,everest-gas,Everest,S.M.D Gas Suppliers,Aasbin Shrestha,"[""9843435608""]",Pepsicola,Kathmandu,,
161,everest-gas,Everest,Sabin & Biyan Store,Hamlal Dihital,"[""9851200838""]",Sitapaila,Kathmandu,,
162,everest-gas,Everest,Smart Gas Suppliers,Hari Das Amatya,"[""9851205933""]",Thankot,Kathmandu,Chandragiri,
163,everest-gas,Everest,A & A Traders,Ram Prasad Loha,"[""9851004906""]",Suryabinayak,Bhaktapur,Suryabinayak,
164,everest-gas,Everest,Nitesh Yadav Kirana,Nitesh Yadav,"[""9808357735""]",Sinamangal,Kathmandu,,
165,everest-gas,Everest,Swet Binayak Centre,Manager,"[""9841695437""]",Babar Mahal,Kathmandu,,
166,everest-gas,Everest,Ratna Gas Centre Pvt Ltd,Bharat Maharjan,"[""9841211194""]",Bagdol,Lalitpur,,
167,everest-gas,Everest,Lamichane Gas Supplier,Bikash Lamichhane,"[""9860495132""]",Baghbazar,Kathmandu,,
168,everest-gas,Everest,Gayatri Khadya Pasal,M. Kala Basel,"[""9847332271""]",Balaju,Kathmandu,,
169,everest-gas,Everest,Mani And Manoj Shop,Madi Ratna Maharjan,"[""9841828959""]",Balaju,Kathmandu,,
170,everest-gas,Everest,Sajin Store,Shiva Narayan Shrestha,"[""9841266353""]",Balaju,Kathmandu,,
171,everest-gas,Everest,Valley Cold Store,Manjar,"[""9851091688""]",Balaju,Kathmandu,,
172,everest-gas,Everest,Baniya Gas Store,Sita K.C,"[""9851051588""]",Balkhu,Kathmandu,,
173,everest-gas,Everest,Kripa Krisha Store,Batuk Pr. Rijal,"[""9841455216""]",Balkhu,Kathmandu,,
174,everest-gas,Everest,Suresh Store,Suresh Maharjan,"[""4269817""]",Balkhu,Kathmandu,,
175,everest-gas,Everest,Buddha Gas Suppliers,Rabi Shaykha,"[""5186465""]",Balkumari,Lalitpur,,
176,everest-gas,Everest,Pulami Store,Muna Pulami,"[""9841795695""]",Balwatar,Kathmandu,,
177,everest-gas,Everest,Baijuraj Suppliers,Baijuraj,"[""9860014343""]",Baneshwor,Kathmandu,,
178,everest-gas,Everest,Raju & Daju Store,Raju Kumar Bhaat,"[""9851011532""]",Baneshwor,Kathmandu,,
179,everest-gas,Everest,Shreeya Chalise Store,Shresya Banset,"[""9841420053""]",Baneshwor,Kathmandu,,
180,everest-gas,Everest,Shyami Gas Thatha Khadya Store,Roshandangol,"[""9841018346""]",Baneshwor,Kathmandu,,
181,everest-gas,Everest,Bhagawati Gift &Kitchen Store,Rabindra Khadka,"[""9841482872""]","Baneshwor, Buddhanagar",Kathmandu,,
182,stc-gas,Sugam,Rachit Store,Rabindra Maharjan,"[""9813714545""]",Gathaghar,Bhaktapur,Madhyapur Thimi,
183,stc-gas,Sugam,Sairam Traders,Gyaneshwor Aryal,"[""9851062244""]",Moti Chok,Lalitpur,,
184,stc-gas,Sugam,Shree Devkota Suppliers,Arjun Devkota,"[""9751065516""]",Gongabu,Kathmandu,,
185,stc-gas,Sugam,A.S. Gas Suppliers,Hari Das Amatya,"[""9851205933""]",Gurjudhara,Kathmandu,,
186,stc-gas,Sugam,Ananya Gas Supplier,Subhash K.C.,"[""9841246162""]",Chabahil,Kathmandu,,
187,stc-gas,Sugam,Pancha Gas Store,Panchakrishna Tako,"[""9843004140""]",Thimi,Bhaktapur,Madhyapur Thimi,
188,stc-gas,Sugam,Pancha Kumari Gas Center,Kul Bahadur Basnet,"[""9841388448""]",Maitidevi,Kathmandu,,
189,stc-gas,Sugam,Pharping Kitchen Traders,Sagar Shrestha,"[""9841381900""]",Dakshinkali,Kathmandu,Dakshinkali,
